	genes	uniprot	hgnc.symbol	drugcentral	drug_name	target_class	action_type
0	SORD	Q00796	SORD	1021	epalrestat	Enzyme
1	SORD	Q00796	SORD	3514	quercetin	Enzyme
2	THTPA	Q9BU02	THTPA	2832	thiamine	Enzyme
3	TKT	P29401	TKT	2832	thiamine	Enzyme
4	TPK1	Q9H3S4	TPK1	2832	thiamine	Kinase
5	GALE	Q14376	GALE	875	diethylstilbestrol	Enzyme
6	GALE	Q14376	GALE	1071	ethacrynic acid	Enzyme
7	GALE	Q14376	GALE	1355	haloprogin	Enzyme
8	G6PD	P11413	G6PD	782	dapsone	Enzyme
9	G6PD	P11413	G6PD	795	prasterone	Enzyme
10	G6PD	P11413	G6PD	1949	nitrofurantoin	Enzyme
11	G6PD	P11413	G6PD	1950	nitrofurazone	Enzyme
12	G6PD	P11413	G6PD	2256	pregnenolone succinate	Enzyme
13	G6PD	P11413	G6PD	2266	primaquine	Enzyme
14	G6PD	P11413	G6PD	2533	aldesulfone	Enzyme
15	G6PD	P11413	G6PD	5324	brexanolone	Enzyme
16	AKR1A1	P14550	AKR1A1	1021	epalrestat	Enzyme
17	AKR1A1	P14550	AKR1A1	2704	tolrestat	Enzyme
18	AKR1A1	P14550	AKR1A1	2803	valproic acid	Enzyme
19	AKR1B1	P15121	AKR1B1	24	phenylbutanoic acid	Enzyme
20	AKR1B1	P15121	AKR1B1	1021	epalrestat	Enzyme	INHIBITOR
21	AKR1B1	P15121	AKR1B1	1193	flufenamic acid	Enzyme
22	AKR1B1	P15121	AKR1B1	1328	gossypol	Enzyme
23	AKR1B1	P15121	AKR1B1	1401	hymecromone	Enzyme
24	AKR1B1	P15121	AKR1B1	1440	indomethacin	Enzyme
25	AKR1B1	P15121	AKR1B1	1663	mefenamic acid	Enzyme
26	AKR1B1	P15121	AKR1B1	1795	mezlocillin	Enzyme
27	AKR1B1	P15121	AKR1B1	1943	nitazoxanide	Enzyme
28	AKR1B1	P15121	AKR1B1	2534	sulindac	Enzyme
29	AKR1B1	P15121	AKR1B1	2699	tolmetin	Enzyme
30	AKR1B1	P15121	AKR1B1	2704	tolrestat	Enzyme	INHIBITOR
31	AKR1B1	P15121	AKR1B1	2767	troglitazone	Enzyme
32	AKR1B1	P15121	AKR1B1	3514	quercetin	Enzyme
33	AKR1B1	P15121	AKR1B1	4624	phenylacetic acid	Enzyme
34	GAPDH	P04406	GAPDH	90	adenosine	Enzyme
35	GLUL	P15104	GLUL	2245	prednisolone	Enzyme
36	GLUL	P15104	GLUL	2251	prednisolone tebutate	Enzyme
37	SLC6A9	P48067	SLC6A9	1319	glycine	Transporter
38	GSR	P00390	GSR	512	carmustine	Enzyme	INHIBITOR
39	GSR	P00390	GSR	1310	glutamic acid	Enzyme
40	GSR	P00390	GSR	1622	lysine	Enzyme
41	GSR	P00390	GSR	1683	menadione	Enzyme
42	GSR	P00390	GSR	1763	methylthioninium chloride	Enzyme
